"","countries_en","vitamin.a","vitamin.b1","vitamin.b2","vitamin.c","vitamin.d","vitamin.e"
"1","Belgium",0.0132952047963201,0.0159152010453273,0.0168751655528232,0.806828895098641,0.000154123856276865,0.146931409650611
"2","Canada",0.0169845358689697,0.378014424002238,0.0592001191897148,0.126627978123529,0.000511603075815403,0.418661339739733
"3","France",0.00259361918094117,0.536719728689258,0.0124828803878522,0.322882249638384,1.21262840663439e-05,0.125309395819498
"4","Germany",0.000713930633862841,0.00455691884701958,0.00290531372543728,0.937718635529112,9.6986500601211e-05,0.054008214763967
"5","Italy",0.00859307487738085,0.0235012523635686,0.0351193526861598,0.798367903259985,0.000125546163942222,0.134292870648963
"6","Portugal",0.00770128709645427,0.0101054268194309,0.00851092748264177,0.900801535641543,6.14499880602868e-05,0.0728193729718703
"7","Russia",0.00111096298442324,0.000530656591799107,0.000140080156220261,0.964655744299725,1.84523769421053e-05,0.03354410359089
"8","Spain",0.00399066485086959,0.00110358253174971,0.00156096844109254,0.945000897727764,3.36349374107399e-06,0.0483405229547828
"9","Switzerland",0.0045938504929012,0.0090982977057765,0.0108070318582967,0.818763479046737,4.84871107923749e-05,0.156688853785496
"10","United Kingdom",0.0132103957780676,0.00974044568396124,0.279771965933878,0.490076633574906,7.38308767747277e-05,0.207126728152413
"11","United States",0.000231718067642299,0.526024666137156,0.427152709787764,0.0320889404048513,4.12646900130452e-06,0.0144978391335844
